Month,Bill
2024-01,38000
2024-02,40000
2024-03,42000
2024-04,45000
2024-05,48000
2024-06,46000
2024-07,44000
2024-08,42000
2024-09,40000
2024-10,41000
2024-11,43000
2024-12,45000
2025-01,42000
2025-02,45000
2025-03,48000
2025-04,52000
2025-05,56000
2025-06,54000
2025-07,51000
2025-08,49000
2025-09,47000
2025-10,48000
2025-11,50000
2025-12,52000
2026-01,45000
2026-02,48000
2026-03,52000
2026-04,55000
2026-05,58000
2026-06,54000
2026-07,50000
2026-08,48000
2026-09,46000
2026-10,49000
2026-11,51000
2026-12,53000
